source,source_record_id,source_snapshot_date,title,title_normalized,job_level,location,experience_years_min,experience_years_max,skills,salary_min,salary_max,category,source_metadata
topcv,1881994,2026-01-13,Trợ Lý Mảng Công Nghệ (Senior BA),Senior Trợ Lý Mảng Công Nghệ Senior BA ,senior,Ha Noi,2,2,[],15000000,20000000,information_technology,"{""dataset"":""baocgb/vietnam-it-jobs-raw-data-from-topcv-2026"",""dataset_commit"":""kaggle-9263561-v1:e78ff2b6ed521ad894a70271a3254fcf434813916fdade4f7d449bc4fdf34ef9"",""dataset_url"":""https://www.kaggle.com/datasets/baocgb/vietnam-it-jobs-raw-data-from-topcv-2026"",""dataset_version"":""1"",""license"":""CC-BY-4.0"",""location_normalizer_revision"":""2026-07-19.1"",""raw_sha256"":""e78ff2b6ed521ad894a70271a3254fcf434813916fdade4f7d449bc4fdf34ef9"",""salary_source_currency"":""VND"",""source_url"":""https://www.topcv.vn/viec-lam/tro-ly-mang-cong-nghe-senior-ba/1881994.html"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
topcv,1882782,2026-01-08,Nhân Viên Kỹ Thuật Điện PLC,Nhân Viên Kỹ Thuật Điện PLC,mid,Đồng Nai,3,3,[],10000000,15000000,information_technology,"{""dataset"":""baocgb/vietnam-it-jobs-raw-data-from-topcv-2026"",""dataset_commit"":""kaggle-9263561-v1:e78ff2b6ed521ad894a70271a3254fcf434813916fdade4f7d449bc4fdf34ef9"",""dataset_url"":""https://www.kaggle.com/datasets/baocgb/vietnam-it-jobs-raw-data-from-topcv-2026"",""dataset_version"":""1"",""license"":""CC-BY-4.0"",""location_normalizer_revision"":""2026-07-19.1"",""raw_sha256"":""e78ff2b6ed521ad894a70271a3254fcf434813916fdade4f7d449bc4fdf34ef9"",""salary_source_currency"":""VND"",""source_url"":""https://www.topcv.vn/viec-lam/nhan-vien-ky-thuat-dien-plc/1882782.html"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
topcv,1883006,2026-01-08,Chuyên Viên Phân Tích Công Nghệ/Middle BA,Chuyên Viên Phân Tích Công Nghệ/Middle BA,mid,Ha Noi,1,1,[],16000000,25000000,information_technology,"{""dataset"":""baocgb/vietnam-it-jobs-raw-data-from-topcv-2026"",""dataset_commit"":""kaggle-9263561-v1:e78ff2b6ed521ad894a70271a3254fcf434813916fdade4f7d449bc4fdf34ef9"",""dataset_url"":""https://www.kaggle.com/datasets/baocgb/vietnam-it-jobs-raw-data-from-topcv-2026"",""dataset_version"":""1"",""license"":""CC-BY-4.0"",""location_normalizer_revision"":""2026-07-19.1"",""raw_sha256"":""e78ff2b6ed521ad894a70271a3254fcf434813916fdade4f7d449bc4fdf34ef9"",""salary_source_currency"":""VND"",""source_url"":""https://www.topcv.vn/viec-lam/chuyen-vien-phan-tich-cong-nghe-middle-ba/1883006.html"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
topcv,1883817,2026-01-08,"Trợ Lý Ứng Dụng AI (Domain ERP, EdTech)- Senior BA","Senior Trợ Lý Ứng Dụng AI Domain ERP, EdTech - Senior BA",senior,Ha Noi,1,1,[],15000000,25000000,information_technology,"{""dataset"":""baocgb/vietnam-it-jobs-raw-data-from-topcv-2026"",""dataset_commit"":""kaggle-9263561-v1:e78ff2b6ed521ad894a70271a3254fcf434813916fdade4f7d449bc4fdf34ef9"",""dataset_url"":""https://www.kaggle.com/datasets/baocgb/vietnam-it-jobs-raw-data-from-topcv-2026"",""dataset_version"":""1"",""license"":""CC-BY-4.0"",""location_normalizer_revision"":""2026-07-19.1"",""raw_sha256"":""e78ff2b6ed521ad894a70271a3254fcf434813916fdade4f7d449bc4fdf34ef9"",""salary_source_currency"":""VND"",""source_url"":""https://www.topcv.vn/viec-lam/tro-ly-ung-dung-ai-domain-erp-edtech-senior-ba/1883817.html"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
topcv,1885617,2026-01-01,Middle NextJS,Middle NextJS,mid,Ha Noi,5,5,[],,31000000,information_technology,"{""dataset"":""baocgb/vietnam-it-jobs-raw-data-from-topcv-2026"",""dataset_commit"":""kaggle-9263561-v1:e78ff2b6ed521ad894a70271a3254fcf434813916fdade4f7d449bc4fdf34ef9"",""dataset_url"":""https://www.kaggle.com/datasets/baocgb/vietnam-it-jobs-raw-data-from-topcv-2026"",""dataset_version"":""1"",""license"":""CC-BY-4.0"",""location_normalizer_revision"":""2026-07-19.1"",""raw_sha256"":""e78ff2b6ed521ad894a70271a3254fcf434813916fdade4f7d449bc4fdf34ef9"",""salary_source_currency"":""VND"",""source_url"":""https://www.topcv.vn/viec-lam/middle-nextjs/1885617.html"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
topcv,1886042,2026-01-08,Frontend Developer,Frontend Developer,mid,Ha Noi,4,4,[],,55000000,information_technology,"{""dataset"":""baocgb/vietnam-it-jobs-raw-data-from-topcv-2026"",""dataset_commit"":""kaggle-9263561-v1:e78ff2b6ed521ad894a70271a3254fcf434813916fdade4f7d449bc4fdf34ef9"",""dataset_url"":""https://www.kaggle.com/datasets/baocgb/vietnam-it-jobs-raw-data-from-topcv-2026"",""dataset_version"":""1"",""license"":""CC-BY-4.0"",""location_normalizer_revision"":""2026-07-19.1"",""raw_sha256"":""e78ff2b6ed521ad894a70271a3254fcf434813916fdade4f7d449bc4fdf34ef9"",""salary_source_currency"":""VND"",""source_url"":""https://www.topcv.vn/viec-lam/frontend-developer/1886042.html"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
topcv,1886068,2026-01-08,Senior Tester,Senior QA Engineer,senior,Ha Noi,4,4,[],35000000,50000000,information_technology,"{""dataset"":""baocgb/vietnam-it-jobs-raw-data-from-topcv-2026"",""dataset_commit"":""kaggle-9263561-v1:e78ff2b6ed521ad894a70271a3254fcf434813916fdade4f7d449bc4fdf34ef9"",""dataset_url"":""https://www.kaggle.com/datasets/baocgb/vietnam-it-jobs-raw-data-from-topcv-2026"",""dataset_version"":""1"",""license"":""CC-BY-4.0"",""location_normalizer_revision"":""2026-07-19.1"",""raw_sha256"":""e78ff2b6ed521ad894a70271a3254fcf434813916fdade4f7d449bc4fdf34ef9"",""salary_source_currency"":""VND"",""source_url"":""https://www.topcv.vn/viec-lam/senior-tester/1886068.html"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
topcv,1886198,2026-01-08,Product Manager,Product Manager,manager,Ha Noi,3,3,[],,50000000,information_technology,"{""dataset"":""baocgb/vietnam-it-jobs-raw-data-from-topcv-2026"",""dataset_commit"":""kaggle-9263561-v1:e78ff2b6ed521ad894a70271a3254fcf434813916fdade4f7d449bc4fdf34ef9"",""dataset_url"":""https://www.kaggle.com/datasets/baocgb/vietnam-it-jobs-raw-data-from-topcv-2026"",""dataset_version"":""1"",""license"":""CC-BY-4.0"",""location_normalizer_revision"":""2026-07-19.1"",""raw_sha256"":""e78ff2b6ed521ad894a70271a3254fcf434813916fdade4f7d449bc4fdf34ef9"",""salary_source_currency"":""VND"",""source_url"":""https://www.topcv.vn/viec-lam/product-manager/1886198.html"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
topcv,1887317,2026-01-08,Business Analyst,Business Analyst,mid,Ha Noi,4,4,[],,37500000,information_technology,"{""dataset"":""baocgb/vietnam-it-jobs-raw-data-from-topcv-2026"",""dataset_commit"":""kaggle-9263561-v1:e78ff2b6ed521ad894a70271a3254fcf434813916fdade4f7d449bc4fdf34ef9"",""dataset_url"":""https://www.kaggle.com/datasets/baocgb/vietnam-it-jobs-raw-data-from-topcv-2026"",""dataset_version"":""1"",""license"":""CC-BY-4.0"",""location_normalizer_revision"":""2026-07-19.1"",""raw_sha256"":""e78ff2b6ed521ad894a70271a3254fcf434813916fdade4f7d449bc4fdf34ef9"",""salary_source_currency"":""USD"",""source_url"":""https://www.topcv.vn/viec-lam/business-analyst/1887317.html"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58"",""usd_to_vnd"":""25000""}"
topcv,1887527,2026-01-08,Chuyên Viên Giải Pháp Phần Mềm,Chuyên Viên Giải Pháp Phần Mềm,mid,Ha Noi,3,3,[],15000000,25000000,information_technology,"{""dataset"":""baocgb/vietnam-it-jobs-raw-data-from-topcv-2026"",""dataset_commit"":""kaggle-9263561-v1:e78ff2b6ed521ad894a70271a3254fcf434813916fdade4f7d449bc4fdf34ef9"",""dataset_url"":""https://www.kaggle.com/datasets/baocgb/vietnam-it-jobs-raw-data-from-topcv-2026"",""dataset_version"":""1"",""license"":""CC-BY-4.0"",""location_normalizer_revision"":""2026-07-19.1"",""raw_sha256"":""e78ff2b6ed521ad894a70271a3254fcf434813916fdade4f7d449bc4fdf34ef9"",""salary_source_currency"":""VND"",""source_url"":""https://www.topcv.vn/viec-lam/chuyen-vien-giai-phap-phan-mem/1887527.html"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
