source,source_record_id,source_snapshot_date,title,title_normalized,job_level,location,experience_years_min,experience_years_max,skills,salary_min,salary_max,category,source_metadata
topcv,1937033,2026-07-13,Manual Tester,QA Engineer,mid,Ha Noi,4,4,[],17000000.00,27000000.00,information_technology,"{""company_name"":""Công ty Cổ phần Ứng dụng Phần mềm Mobio Việt Nam"",""dataset"":""jobradar/topcv-live-card-cohort"",""dataset_commit"":""scrape-batch:eb00da89-c02b-49d1-be3e-68d7a3946c50"",""dataset_url"":""https://www.topcv.vn/tim-viec-lam-cong-nghe-thong-tin"",""first_seen_cutoff"":""2026-07-19T04:36:28.244910+00:00"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""TopCV relative posting age resolved at collection time"",""raw_payload_sha256"":""e36caf8b28784ed6617b75f3f2778d5aea737ae3b51db590059c02a5df200ad4"",""scrape_batch_id"":""eb00da89-c02b-49d1-be3e-68d7a3946c50"",""scraped_at"":""2026-07-19T04:40:43.059876+00:00"",""source_url"":""https://www.topcv.vn/viec-lam/manual-tester/1937033.html"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
topcv,1960934,2026-06-19,"Junior Business Analyst (Từ 2 Năm Kinh Nghiệm, Offer 12-18tr/Tháng)",Junior Business Analyst,junior,Ha Noi,2,2,[],12000000.00,18000000.00,information_technology,"{""company_name"":""CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ VÀ THƯƠNG MẠI SOFTDREAMS"",""dataset"":""jobradar/topcv-live-card-cohort"",""dataset_commit"":""scrape-batch:eb00da89-c02b-49d1-be3e-68d7a3946c50"",""dataset_url"":""https://www.topcv.vn/tim-viec-lam-cong-nghe-thong-tin"",""first_seen_cutoff"":""2026-07-19T04:36:28.244910+00:00"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""TopCV relative posting age resolved at collection time"",""raw_payload_sha256"":""0ee1dd8e37d125c3011108b626504c9a20d35f50352bc60ebfd24be630068c3d"",""scrape_batch_id"":""eb00da89-c02b-49d1-be3e-68d7a3946c50"",""scraped_at"":""2026-07-19T04:40:48.036441+00:00"",""source_url"":""https://www.topcv.vn/viec-lam/junior-business-analyst-tu-2-nam-kinh-nghiem-offer-12-18tr-thang/1960934.html"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
topcv,1967925,2026-06-19,Chuyên Viên Điều Phối/Product Owner (PO) - Sản Phẩm Mobile App - Thu Nhập Lên Tới 25M++,Product Owner,mid,Ha Noi,1,1,"[""Owner""]",15000000.00,25000000.00,information_technology,"{""company_name"":""UMAXSOFT JOINT STOCK COMPANY"",""dataset"":""jobradar/topcv-live-card-cohort"",""dataset_commit"":""scrape-batch:eb00da89-c02b-49d1-be3e-68d7a3946c50"",""dataset_url"":""https://www.topcv.vn/tim-viec-lam-cong-nghe-thong-tin"",""first_seen_cutoff"":""2026-07-19T04:36:28.244910+00:00"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""TopCV relative posting age resolved at collection time"",""raw_payload_sha256"":""868d796ebaba583eb308e94fc933b708983e0589ca289e8a7c5f39144c45dd36"",""scrape_batch_id"":""eb00da89-c02b-49d1-be3e-68d7a3946c50"",""scraped_at"":""2026-07-19T04:40:37.967159+00:00"",""source_url"":""https://www.topcv.vn/viec-lam/chuyen-vien-dieu-phoi-product-owner-po-san-pham-mobile-app-thu-nhap-len-toi-25m/1967925.html"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
topcv,2005950,2026-07-13,Trưởng Nhóm Pháp Chế (Phòng Công Nghệ Thông Tin),Trưởng Nhóm Pháp Chế Phòng Công Nghệ Thông Tin ,lead,Ho Chi Minh,3,3,[],20000000.00,25000000.00,information_technology,"{""company_name"":""Công ty Tài Chính TNHH Một Thành Viên Quốc Tế Việt Nam JACCS"",""dataset"":""jobradar/topcv-live-card-cohort"",""dataset_commit"":""scrape-batch:eb00da89-c02b-49d1-be3e-68d7a3946c50"",""dataset_url"":""https://www.topcv.vn/tim-viec-lam-cong-nghe-thong-tin"",""first_seen_cutoff"":""2026-07-19T04:36:28.244910+00:00"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""TopCV relative posting age resolved at collection time"",""raw_payload_sha256"":""df5a4c531239bcccdb99fbc48f3bcb07d7ad467ae331641b53a65c586ea38b0a"",""scrape_batch_id"":""eb00da89-c02b-49d1-be3e-68d7a3946c50"",""scraped_at"":""2026-07-19T04:41:03.063744+00:00"",""source_url"":""https://www.topcv.vn/viec-lam/truong-nhom-phap-che-phong-cong-nghe-thong-tin/2005950.html"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
topcv,2014298,2026-07-17,Chuyên Viên Quản Trị Mạng - Bảo Mật,Network Engineer,mid,Ha Noi,1,1,[],10000000.00,25000000.00,information_technology,"{""company_name"":""Công ty Cổ phần Hệ thống Công nghệ ETC"",""dataset"":""jobradar/topcv-live-card-cohort"",""dataset_commit"":""scrape-batch:eb00da89-c02b-49d1-be3e-68d7a3946c50"",""dataset_url"":""https://www.topcv.vn/tim-viec-lam-cong-nghe-thong-tin"",""first_seen_cutoff"":""2026-07-19T04:36:28.244910+00:00"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""TopCV relative posting age resolved at collection time"",""raw_payload_sha256"":""549f22c54bb475455251501b090f66ae7c9d19ec887c97c05e9b02f779272800"",""scrape_batch_id"":""eb00da89-c02b-49d1-be3e-68d7a3946c50"",""scraped_at"":""2026-07-19T04:40:52.858370+00:00"",""source_url"":""https://www.topcv.vn/viec-lam/chuyen-vien-quan-tri-mang-bao-mat/2014298.html"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
topcv,2030607,2026-07-12,Trưởng Nhóm Kiểm Thử,QA Engineer,lead,Ha Noi,4,4,[],25000000.00,30000000.00,information_technology,"{""company_name"":""Công ty Cổ phần Công nghệ Phần mềm Tinh Vân"",""dataset"":""jobradar/topcv-live-card-cohort"",""dataset_commit"":""scrape-batch:eb00da89-c02b-49d1-be3e-68d7a3946c50"",""dataset_url"":""https://www.topcv.vn/tim-viec-lam-cong-nghe-thong-tin"",""first_seen_cutoff"":""2026-07-19T04:36:28.244910+00:00"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""TopCV relative posting age resolved at collection time"",""raw_payload_sha256"":""3253dfeba40d403787969d4020637349ee74a7bd2fa1a4924a4d59faea2707ce"",""scrape_batch_id"":""eb00da89-c02b-49d1-be3e-68d7a3946c50"",""scraped_at"":""2026-07-19T04:41:07.954756+00:00"",""source_url"":""https://www.topcv.vn/viec-lam/truong-nhom-kiem-thu/2030607.html"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
topcv,2037957,2026-07-16,Nhân Viên Backend .NET,Backend Developer,mid,Ho Chi Minh,4,4,"["".NET""]",20000000.00,25000000.00,information_technology,"{""company_name"":""Công ty Cổ phần Công nghệ Phần mềm Tinh Vân"",""dataset"":""jobradar/topcv-live-card-cohort"",""dataset_commit"":""scrape-batch:eb00da89-c02b-49d1-be3e-68d7a3946c50"",""dataset_url"":""https://www.topcv.vn/tim-viec-lam-cong-nghe-thong-tin"",""first_seen_cutoff"":""2026-07-19T04:36:28.244910+00:00"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""TopCV relative posting age resolved at collection time"",""raw_payload_sha256"":""1d113c312eb2634bcdbc4d7b2a312644fcc3baa56a448f0800a1dea3b194a98b"",""scrape_batch_id"":""eb00da89-c02b-49d1-be3e-68d7a3946c50"",""scraped_at"":""2026-07-19T04:40:52.884480+00:00"",""source_url"":""https://www.topcv.vn/viec-lam/nhan-vien-backend-net/2037957.html"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
topcv,2047714,2026-07-12,Business Analyst (DA Chính Phủ)-5 Năm Kinh Nghiệm,Business Analyst,mid,Ha Noi,5,5,[],30000000.00,40000000.00,information_technology,"{""company_name"":""Công ty CP FINT Việt Nam"",""dataset"":""jobradar/topcv-live-card-cohort"",""dataset_commit"":""scrape-batch:eb00da89-c02b-49d1-be3e-68d7a3946c50"",""dataset_url"":""https://www.topcv.vn/tim-viec-lam-cong-nghe-thong-tin"",""first_seen_cutoff"":""2026-07-19T04:36:28.244910+00:00"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""TopCV relative posting age resolved at collection time"",""raw_payload_sha256"":""28b400d5e7dc4527041f035c7b1af5f894f096705ff0122382879fc525de066a"",""scrape_batch_id"":""eb00da89-c02b-49d1-be3e-68d7a3946c50"",""scraped_at"":""2026-07-19T04:40:37.965158+00:00"",""source_url"":""https://www.topcv.vn/viec-lam/business-analyst-da-chinh-phu-5-nam-kinh-nghiem/2047714.html"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
topcv,2050778,2026-07-12,Nhân Viên Business Analyst,Business Analyst,mid,Ha Noi,2,2,[],15000000.00,25000000.00,information_technology,"{""company_name"":""CÔNG TY CỔ PHẦN ADVANCE TECH VIỆT NAM"",""dataset"":""jobradar/topcv-live-card-cohort"",""dataset_commit"":""scrape-batch:eb00da89-c02b-49d1-be3e-68d7a3946c50"",""dataset_url"":""https://www.topcv.vn/tim-viec-lam-cong-nghe-thong-tin"",""first_seen_cutoff"":""2026-07-19T04:36:28.244910+00:00"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""TopCV relative posting age resolved at collection time"",""raw_payload_sha256"":""10b2cecb57aa29ba3d51a3086c5544621aca8b987b54de860115acbb950df78d"",""scrape_batch_id"":""eb00da89-c02b-49d1-be3e-68d7a3946c50"",""scraped_at"":""2026-07-19T04:40:43.043445+00:00"",""source_url"":""https://www.topcv.vn/viec-lam/nhan-vien-business-analyst/2050778.html"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
topcv,2058921,2026-07-12,Nhân Viên Công Nghệ Thông Tin Đào Tạo Có Lương,Nhân Viên Công Nghệ Thông Tin Đào Tạo Có Lương,mid,Ho Chi Minh,0,0,[],8000000.00,15000000.00,information_technology,"{""company_name"":""CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM NASANI"",""dataset"":""jobradar/topcv-live-card-cohort"",""dataset_commit"":""scrape-batch:eb00da89-c02b-49d1-be3e-68d7a3946c50"",""dataset_url"":""https://www.topcv.vn/tim-viec-lam-cong-nghe-thong-tin"",""first_seen_cutoff"":""2026-07-19T04:36:28.244910+00:00"",""license"":""NOASSERTION"",""location_normalizer_revision"":""2026-07-19.1"",""observation_semantics"":""TopCV relative posting age resolved at collection time"",""raw_payload_sha256"":""65df088e77960e832722529f7bbe779fb3c7f4b2868ec39ae26a5ba26d70e396"",""scrape_batch_id"":""eb00da89-c02b-49d1-be3e-68d7a3946c50"",""scraped_at"":""2026-07-19T04:40:23.271689+00:00"",""source_url"":""https://www.topcv.vn/viec-lam/nhan-vien-cong-nghe-thong-tin-dao-tao-co-luong/2058921.html"",""title_normalizer_revision"":""2f434fba22de3a14c1b199331c8ca18408dc72e702071bf4bbfe380daff40f58""}"
